Open,High,Low,Close,Date
10.23,44.52,43.97,44.51,01-03-2018
56.26,44.92,44.35,44.64,02-03-2018
40.23,45.39,44.69,45.22,03-03-2018
60.36,45.70,45.13,45.45,04-03-2018
60.99,45.63,44.88,45.49,05-03-2018
56.50,45.52,44.19,44.23,06-03-2018
55.26,44.70,43.99,44.61,07-03-2018
60.12,45.15,43.75,45.15,08-03-2018
70.36,45.65,44.45,44.53,09-03-2018
84.23,45.87,45.13,45.66,10-03-2018
56.26,45.99,45.27,45.95,11-03-2018
40.23,46.35,45.80,46.33,12-03-2018
60.36,46.61,46.10,46.31,13-03-2018
60.99,46.47,45.77,45.94,14-03-2018
56.50,46.30,45.14,45.60,15-03-2018
55.44,45.98,44.96,45.70,16-03-2018
56.26,46.68,46.10,46.56,17-03-2018
40.23,46.59,46.14,46.36,18-03-2018
60.36,46.88,46.39,46.82,19-03-2018
60.99,46.81,46.41,46.72,20-03-2018
56.50,46.74,45.94,46.65,21-03-2018
55.44,47.08,46.68,46.97,22-03-2018
56.26,46.84,46.17,46.56,23-03-2018
40.23,45.81,45.10,45.29,24-03-2018
60.36,45.13,44.34,44.93,25-03-2018
60.99,44.95,44.60,44.61,26-03-2018
56.50,45.00,44.19,44.69,27-03-2018
55.44,45.67,44.92,45.26,28-03-2018
75.32,45.71,45.00,45.44,29-03-2018
80.36,45.35,44.45,44.75,30-03-2018
